actor_name.text was created: 2023/8/4 13:37:30
Filesize is: 48448 bytes

Enemy
Group 0
r01_gd_sol_swbold - ボムクス・ソード
r01_gd_sol_ribo - ボムス・ガン
r01_gd_sol_ribold - ボムクス・ガン
r01_gd_ins_ba - デストラグラス
r01_unk_rap_mo - ツキミ・ラッピー
r01_unk_rap_ha - サイズ・ラッピー
r02_gd_flo_th - サンドフワン
r02_gd_pyc_ba - サンドティノス
r02_gd_gos_ba - サンドコロン
r02_gd_sol_sw - デザス・ソード
r02_gd_sol_ri - デザス・ガン
r02_gd_sol_lu - デザス・ランチャー
r02_gd_sol_gs - デザス・スラッシュ
r02_gd_gor_ba - サンドロロン
r02_gd_gor_bald - サンドロロクス
r02_gd_for_ba - サンドッツ
r02_gd_bra_ba - ブランクル
r02_gd_mtl_ba - メティウス
r02_gd_box_ba - サンドナグルス
r02_gd_phe_ba - サンドオルク
r02_gd_sip_ba - リゼントス
r02_gd_cas_mi - フォートス・ランチャー
r02_gd_cas_el - フォートス・レーザー
r02_gd_kic_ba - ケルクンド
r02_gd_sna_ba - レヌス・リテム
r02_gd_sna_rai - レヌス・ヴェラ
r02_gd_gia_hm - スナイダル・ハンマー
r02_gd_gia_rai - スナイダル・ヴェラ
r02_alt_sin_ba - マミィドッグ
r02_alt_dwf_ba - サヴァルーク
r02_alt_dks_ba - ケロゲロ
r02_alt_hrp_ba - サヴァルアンジェ
r02_alt_snk_ba - ガラスネッグ
r02_alt_tkm_ba - ラフィンベアル
r02_alt_tig_ba - クロウパー
r02_alt_dvs_ba - バブルクラッブ
r02_ani_rbt_a - ラムルサニィ
r02_ani_bis_a - ラムルパット
r02_ani_bis_b - ラムルパッティ
r02_ani_bir_b - ラムルバーディ
r02_ani_sli_a - ラムルオタリカ
r02_ani_kit_a - ラムルフォクス
r02_ani_cam_a - キャメリオ
r02_ani_cam_b - キャメリア
r02_ani_hip_a - ピポタン
r02_ani_hip_b - ヒポッコ
r02_ani_boa_a - ラムルノッシ
r01_unk_rap_ch - トナ・ラッピー
r02_gd_god2_ba - ダークファルス
r03_gd_flo_th - スノウフワン
r03_gd_pyc_ba - スノウティノス
r03_gd_tyu_ba - ジャンゲス
r03_gd_sol_sw - ザムス・ソード
r03_gd_sol_ri - ザムス・ガン
r03_gd_sol_lu - ザムス・ランチャー
r03_gd_sol_gs - ザムス・スラッシュ
r03_gd_gor_ba - スノウロロン
r03_gd_gor_bald - スノウロロクス
r03_gd_for_ba - フリッツ
r03_gd_bkt_ba - リンシャン
r03_gd_abn_ba - プロクタス・エアル
r03_gd_abn_ba2 - プロクタス・リテナ
r03_gd_hum_cl - アムス・クローネ
r03_gd_phe_ba - スノルク
r03_gd_wic_ba - レリーヌ
r03_gd_pan_ba - パンゴラン
r03_gd_gia_ice - レイダル・ソード
r03_gd_tur_ba - クロコダラス
r03_gd_tur_rai - クロコダラス・ヴェラ
r03_gd_hum_ba - アムス・クヴァリス
r03_gd_hum_rai - アムス・ヴェラ
r02_gd_god2_ex - ダークファルス
r03_alt_sin_ba - チルディドッグ
r03_alt_sin_ba2 - フリージドッグ
r03_alt_dks_ba - ヒエルゲロ
r03_alt_dks_ba2 - チベタゲロ
r03_alt_wlf_ba - チルディロン
r03_alt_wlf_ba2 - フリージロン
r03_alt_cli_ba - チルディキュリオ
r03_alt_cli_ba2 - フリージキュリオ
r03_alt_hog_ba - チルディンホッグ
r03_alt_hog_ba2 - フリージンホッグ
r03_alt_snk_ba - チルディスネッグ
r03_alt_snk_ba2 - フリージスネッグ
r03_alt_tig_ba - チルディロウパー
r03_alt_tig_ba2 - フリージロウパー
r03_alt_tao_ba - マーカライド
r03_ani_rbt_a - ルミィサニィ
r03_ani_bis_a - ルミィパット
r03_ani_bir_a - ルミィバーディ
r03_ani_sli_a - ルミィオタリカ
r03_ani_kit_a - ルミィフォクス
r03_ani_rei_a - ポロロ
r03_ani_fih_a - コマンタ
r03_non_rob_a - ホーバック
r01_unk_emp_ba - エンペ・ラッピー
r01_unk_emp_babi - グレト・ラッピー
r01_unk_emp_10av - セレモ・エンペラッピー
r01_unk_emp_10avbi - セレモ・グレトラッピー
r02_gd_kpy_ba - イクサブジン
r02_alt_cli_ba - サヴァキュリオ
r02_alt_wlf_ba - サヴァウロン
r02_alt_tis_ba - サヴディサイズ
r01_unk_rap_wi - ノルディ・ラッピー
r02_alt_hog_ba - サヴァインホッグ
r02_nat_gdn_ba - ガーディナン・ロア
r02_nat_wol_sm - ガルフ・デロア
r02_nat_wol_bi - フォンガルフ・デロア
r02_nat_bir_ba - アギニス・デロア
r02_nat_gma_ba - スパルダンＡ・ロア
r02_nat_gma_gu - スパルガン・ロア
r02_nat_gma_bo - スパルザイル・ロア
r02_nat_armma_ba - アルマロンゴ
r02_nat_can_gu - シグノガン・ロア
r02_nat_zmr_rs - ギルナッチ・ロア
r02_nat_hmc_ba - ディンゲール・ロア
r02_nat_bea_ba - デューンベア
r01_nat_fan_tmsp - サンダバンサー
r02_nat_trf_ba - グランマイザー
r01_unk_tan_ba - カプタン
r01_unk_rap_1ng - アニバ・ラッピー
r03_nat_bea_mon - イエーデ・ロア
r03_nat_wol_sm - ガルフル・ロア
r03_nat_wol_bi - ファンガルフル・ロア
r03_nat_bir_ba - アギニス・ザロア
r03_nat_armma_ba - ブリザロンゴ
r03_nat_bea_ice - ケーニヒスイエーデ
r03_nat_fan_icem - アイスバンサー
r03_nat_fan_icef - アイスバンシー
r03_alt_hog_sm - チルディンヘッジ
r03_alt_hog_sm2 - フリージンヘッジ
r03_alt_tao_ba2 - マーカライダ
r01_nat_bea_robi - ロックベア・ジオ
r03_gd_mrt_ba - リモータス
r04_gd_zrf_ba - ニルス・スティア
r04_gd_zrf_rai - ニルス・ヴェラ
r01_gd_dra_cm - ネクス
r04_gd_flo_fl - ラーヴァフワン
r04_gd_pyc_ba - ラーヴァティノス
r03_nat_mam_sm - マルモス・ロア
r03_nat_mam_de - ゾ・マルモス
r03_gd_ksg_ba - ヴァーディアス
r03_gd_rkt_ba - ビッツ
r04_gd_mtl_ba - ラーヴァメティウス
r04_gd_leg_ba - ストラディス
r04_gd_sip_ba - ブレゼントス
r04_ani_rbt_a - フラムサニィ
r04_ani_brs_a - フラムパット
r04_ani_bir_a - フラムバーディ
r04_ani_sli_a - フラムオタリカ
r04_ani_kit_a - フラムフォクス
r04_ani_rei_a - フラムポロロ
r04_ani_fih_a - フラムコマンタ
r04_gd_god3_ba - ダークファルス・エイジス
r04_gd_ufo_gr - ダーレット・アタッカー
r04_gd_ufo_fl - ダーレット・シューター
r04_alt_bat_ba - フレイレイ
r04_alt_bat_ba2 - サンダレイ
r04_alt_chk_ba - コワードリ
r04_alt_crb_ba - バサルピオン
r04_alt_nod_ba - スラグヘッド
r04_alt_shp_ba - ロックハウンド
r04_alt_shp_ba2 - シュタインハウンド
r04_alt_slm_ba - ボワークロウル
r04_alt_slm_th - ビガークロウル
r04_alt_tat_ba - クリスナクル
r04_alt_vdr_ba - ダークレムナス
r04_alt_vdr_ba2 - ボルトレムナス
r04_gd_mog_ba - ドルドリス
r04_gd_mog_rai - ドルドリス・ヴェラ
r04_gd_nyb_ba - エンゴウク
r04_gd_pun_ba - ブースタス
r04_gd_sol_ax - ガザス・アックス
r04_gd_sol_ri - ガザス・ガン
r04_gd_sol_lu - ガザス・ランチャー
r04_gd_sol_gs - ガザス・スラッシュ
r04_gd_gor_ba - ラーヴァロロン
r04_gd_gor_bald - ラーヴァロロクス
r04_gd_for_ba - ヴァニッツ
r04_gd_akm_ba - ダークマギルス
r02_gd_kic_wi - ケルクンド
r01_gd_ktn_wi - ブジン
r04_gd_box_ba - ブレズナグルス
r03_gd_sol_swbo - ボルザムス・ソード
r03_gd_sol_ribo - ボルザムス・ガン
r01_unk_emp_mo - ツキミ・エンペラッピー
r01_unk_emp_mobi - ツキミ・グレトラッピー
r01_gd_dra_old - ネクス・エアリオ
r01_unk_emp_atm - ヤオロ・エンペラッピー
r01_unk_emp_atmbi - ヤオロ・グレトラッピー
r01_unk_tan_kn - キングカプタン
r04_alt_nod_ba2 - マッグヘッド
r04_alt_wlf_ba - ダスクロン
r04_alt_tis_ba - ダスクディサイズ
r04_alt_dvs_ba - ダスククラッブ
r04_alt_tkm_ba - グリンベアル
r04_nat_armma_ba - ヴォルガロンゴ
r01_unk_rap_atm - ヤオロ・ラッピー
r01_unk_rap_ud1 - ドルズ・ラッピー
r01_unk_rap_ud2 - スペキュ・ラッピー
r04_gd_nyb_ex - イクサエンゴウク
r04_nat_rpt_ba - ディッグ・ロア
r04_nat_frp_sh - ソル・ディガーラ・ロア
r04_nat_dwl_sm - ノーディラン・ロア
r04_nat_dwl_ba - フォードラン・ロア
r04_nat_dbt_ba - バリドラン・ロア
r04_gd_gia_fl - フレイダル・ソード
r05_stl_sls_ba - ダークファルス・ソウラス
r04_nat_bea_ba - ヴォルグベア
r04_nat_gdn_ba - ガーディナン・ヴォロア
r04_nat_wol_sm - ガルフ・ヴォロア
r04_nat_wol_bi - フォンガルフ・ヴォロア
r04_nat_bir_ba - アギニス・ヴォロア
r04_nat_gma_ba - スパルダンＡ・ヴォロア
r04_nat_gma_gu - スパルガン・ヴォロア
r04_nat_can_gu - シグノガン・ヴォロア
r01_unk_emp_ch - セント・エンペラッピー
r04_non_scr_a - スカウトワスプ
r04_non_trt_a - ビーハイヴＥ
r01_unk_emp_chbi - セント・グレトラッピー
r01_unk_emp_wi - ノルディ・エンペラッピー
r01_unk_emp_wibi - ノルディ・グレトラッピー
r05_stl_mtl_ba1 - ディンド
r04_nat_cry_ba - クォーツ・スコーディン
r01_unk_emp_ea - フルル・エンペラッピー
r01_unk_emp_eabi - フルル・グレトラッピー
r05_gd_gho_ba - マリオネス
r05_stl_solri_ba - バロウグ・ガン
r05_stl_solsw_ba - バロウグ・ソード
r01_alt_wlf_bi - ワウロン・ジオ
r01_nat_armma_bi - ガロンゴ・ジオ
r04_non_dro_a - ハイドローム
r05_stl_pnr_ba - ハルヴァルディ
r05_stl_bbd_ba - アーンズゥ
r03_gd_hum_1ng - アムス
r03_gd_hum_cm - アムス
r05_stl_box_ba1 - ラヴィード
r05_gd_zft_ba - ヴェノギア
r05_gd_zft_str - ゼフェット・ヴェノギア
r05_gd_zft_rai - ヴェノギア・ヴェラ
r04_gd_god3_str - ダークファルス・エイジス
r05_rem_spi_ba - ルイノ・ラグネ
r05_rem_dhu_ba - ルイノ・ヒューナル
r05_stl_ktn_ba1 - ラセツ
r05_stl_gia_ba1 - ヘルジーグ
r05_stl_ins_ba1 - エリミネイダ
r05_non_myt_a - ボルガリス
r05_stl_pyc_ba - ヴォルガ
r00_unknownenemy - ？？？？？

Group 1

Group 2

Group 3

Group 4

Group 5

Group 6

Group 7

Group 8

Group 9


EnemyTitle
Group 0
EnemyTitleRareEnemyGti - 金色の
EnemyTitleRareEnemySti - 白銀の
EnemyTitleStrongEnemy - 絶望の
EnemyTitleRegionBossEnemy - 老練の
EnemyTitleHighRankEnemy - 精鋭の
EnemyTitleSeasonEaster1 - 花舞の
EnemyTitleSeasonAnnivNGS1 - 煌星の
EnemyTitleFrozenAncientEnemy - 遠世の
EnemyTitleSeasonMoon1 - 往古の
EnemyTitleSeasonWinter1 - 雪花の
EnemyTitleMobileForceEnemy - 絶望の
EnemyTitleNightmareBoss - 不撓の
EnemyTitleSeasonAnnivPSO21 - 星霜の
EnemyTitleGrowUpFloorBoss - 奇侵の
EnemyTitleGrowUpBuffEnemy - 変侵の

Group 1

Group 2

Group 3

Group 4

Group 5

Group 6

Group 7

Group 8

Group 9


EnemySpecies
Group 0
All - いずれかのエネミー
Generic - エネミー
God - ドールズ
Alter - アルターズ
Another - 超時空
Animal - テイムズ
Natural - フォーマーズ
Independent - 所属なし
Starless - スターレス
Remnants - ルーイナス

Group 1

Group 2

Group 3

Group 4

Group 5

Group 6

Group 7

Group 8

Group 9


PA
Group 0
SwordPA01 - スパイラルエッジ
SwordPA02 - ツイストザッパー
SwordPA03 - ストリークキャリバー
WlancePA01 - カッティングレイヤー
WlancePA02 - ヴェインミクスチャー
WlancePA03 - タービュランストレイン
PartisanPA01 - サイズリッパー
PartisanPA02 - スタッブジャベリン
PartisanPA03 - フェイタルトルネード
TdaggerPA01 - ヴァルチャーモーメント
TdaggerPA02 - ヘルズエスコート
TdaggerPA03 - ピルエットリッパー
DsaberPA01 - ジュリーエンダンス
DsaberPA02 - アンチェインサークル
DsaberPA03 - クイックガッシュ
KnucklePA01 - スウィフトラッシュ
KnucklePA02 - サウザンドブロウ
KnucklePA03 - トライドライブ
RiflePA01 - レイジングショット
RiflePA02 - ホーミングダート
RiflePA03 - ブレイズショット
LauncherPA01 - フォールンインパクト
LauncherPA02 - フィアーイレイザー
LauncherPA03 - マルチプルローンチ
MachinegunPA01 - バレットレイヴ
MachinegunPA02 - エイムレスレイン
MachinegunPA03 - クロースバレット
Fire01 - フォイエ
Fire02 - ギ・フォイエ
Ice01 - バータ
Ice02 - ギ・バータ
Thunder01 - ゾンデ
Thunder02 - ギ・ゾンデ
Wind01 - ザン
Wind02 - ギ・ザン
Light01 - グランツ
Light02 - ギ・グランツ
Dark01 - メギド
Dark02 - ギ・メギド
WandPA01 - ラピッドスマッシュ
WandPA02 - ウェーブヒット
TalisPA01 - パーフォレイトシュート
TalisPA02 - スプレッドフェザー
KatanaPA01 - ハヤテツワブキ
KatanaPA02 - アヤメレップウ
KatanaPA03 - フヨウテンライ
CompoundBowPA01 - フレックスアロウ
CompoundBowPA02 - フレンジースクイブ
CompoundBowPA03 - ディメンショナルレイ
JetBootsPA01 - スピニングガスト
JetBootsPA02 - ヴァイオレントゲイル
JetBootsPA03 - フィアースウェイヴ
DbladePA01 - ストークディストラクション
DbladePA02 - ハリアーランページ
DbladePA03 - ローリングフェザント
SwordPA04 - リレントレスクリーヴ
WlancePA04 - ヘリッシュフォール
PartisanPA04 - トライアンフシフト
TdaggerPA04 - リンバーフィガー
DsaberPA04 - スカイクライム
KnucklePA04 - バックハンドストライク
RiflePA04 - リヴォルトエイム
LauncherPA04 - ディバインインパクト
MachinegunPA04 - インフィニットリコシェ
KatanaPA04 - ヒュウガセンダン
CompoundBowPA04 - シースレスドロー
JetBootsPA04 - サージングインパルス
DbladePA04 - レイヴィングファルコン
TaktPA01 - フレドランブレス
TaktPA02 - フレドランライディング
TaktPA03 - ヴォルファーデモリション
TaktPA04 - ヴォルファーレイド
GunslashPA01 - シフティングスピカ
GunslashPA02 - フローイングシリウス
GunslashPA03 - リーピングレグルス
GunslashPA04 - ウェービングリゲル

Group 1

Group 2

Group 3

Group 4

Group 5

Group 6

Group 7

Group 8

Group 9


PAExplanation
Group 0
SwordPA01 - “大剣（ソード）”用のフォトンアーツ。<br>回転しながら上昇し、縦方向に斬撃を放つ。<br>チャージすることで、威力が上昇する。
SwordPA02 - “大剣（ソード）”用のフォトンアーツ。<br>回転しながら、横方向に斬撃を放つ。<br>チャージすることで、スピン回数が増加する。
SwordPA03 - “大剣（ソード）”用のフォトンアーツ。<br>強力な一閃をくりだす。<br>発動後、さらにPAボタンを押すことで、<br>最大３回攻撃が発生する。<br>また、チャージすることで、<br>それぞれのヒット回数が増加する。
WlancePA01 - “自在槍（ワイヤードランス）”用のフォトンアーツ。<br>前方に、広範囲の連続攻撃をくりだす。
WlancePA02 - “自在槍（ワイヤードランス）”用のフォトンアーツ。<br>激しく回転しながら、周囲のエネミーを切り刻んだ後、<br>強力な一撃を放つ。<br>移動しながら攻撃することもできる。
WlancePA03 - “自在槍（ワイヤードランス）”用のフォトンアーツ。<br>激しく回転しながら、縦方向の斬撃を放つ。
PartisanPA01 - “長槍（パルチザン）”用のフォトンアーツ。<br>前方を、素早く薙ぎ払う。<br>チャージすることで、攻撃の挙動が変化する。
PartisanPA02 - “長槍（パルチザン）”用のフォトンアーツ。<br>突き攻撃の後、エネミーに武器を投擲する。<br>PAボタンを長押しすることで、<br>PPが切れるまで突き攻撃をした後、投擲を行う。
PartisanPA03 - “長槍（パルチザン）”用のフォトンアーツ。<br>武器を回転させて、周囲のエネミーを攻撃する。<br>チャージすることで、攻撃の挙動が変化する。
TdaggerPA01 - “双小剣（ツインダガー）”用のフォトンアーツ。<br>回転しながらエネミーに接近し、素早い連撃を放つ。
TdaggerPA02 - “双小剣（ツインダガー）”用のフォトンアーツ。<br>前方に突進した後、衝撃波を放つ。
TdaggerPA03 - “双小剣（ツインダガー）”用のフォトンアーツ。<br>素早い刺突の後、無数の刃でエネミーを切り刻む。
DsaberPA01 - “両剣（ダブルセイバー）”用のフォトンアーツ。<br>素早くエネミーに接近し、連撃を放つ。<br>発動時に、カマイタチが発生する。
DsaberPA02 - “両剣（ダブルセイバー）”用のフォトンアーツ。<br>武器を投げて、周囲のエネミーを攻撃した後、<br>戻ってきた武器で、さらに薙ぎ払いを行う。<br>発動時に、カマイタチが発生する。
DsaberPA03 - “両剣（ダブルセイバー）”用のフォトンアーツ。<br>素早い横薙ぎの後、後退しながら、竜巻を発生させる。<br>発動時に、カマイタチが発生する。
KnucklePA01 - “鋼拳（ナックル）”用のフォトンアーツ。<br>左右に拳をくりだした後、強力な一撃を放つ。
KnucklePA02 - “鋼拳（ナックル）”用のフォトンアーツ。<br>無数の拳をくりだした後、強力なアッパーを放つ。
KnucklePA03 - “鋼拳（ナックル）”用のフォトンアーツ。<br>拳をくりだしながら、前方に突進した後、<br>強力な連撃を放つ。
RiflePA01 - “長銃（アサルトライフル）”用のフォトンアーツ。<br>エネミーに命中すると、爆発する弾を放つ。<br>チャージすることで、エネミーを貫通する<br>螺旋弾に変化する。
RiflePA02 - “長銃（アサルトライフル）”用のフォトンアーツ。<br>チャージすることで、視界に捉えた複数のエネミーを<br>追尾する特殊弾を放つ。
RiflePA03 - “長銃（アサルトライフル）”用のフォトンアーツ。<br>回避動作の後、速射を行う。<br>PAボタンを長押しすることで、<br>PPが切れるまで攻撃を続ける。
LauncherPA01 - “大砲（ランチャー）”用のフォトンアーツ。<br>前方に、爆発弾を降らせる。
LauncherPA02 - “大砲（ランチャー）”用のフォトンアーツ。<br>前方に、強力な光線を放つ。<br>PAボタンを長押しすることで、<br>PPが切れるまで攻撃を続け、<br>一定時間継続すると、追加攻撃が発生する。
LauncherPA03 - “大砲（ランチャー）”用のフォトンアーツ。<br>爆発弾を連続して発射し、最後に強力な一撃を放つ。<br>移動しながら攻撃することもできる。
MachinegunPA01 - “双機銃（ツインマシンガン）”用のフォトンアーツ。<br>断続的に連射を行った後、強力な集束弾を放つ。<br>チャージすることで、威力が上昇する。
MachinegunPA02 - “双機銃（ツインマシンガン）”用のフォトンアーツ。<br>激しく回転しながら、<br>周囲のエネミーに弾丸を浴びせかける。<br>チャージすることで、威力が上昇する。
MachinegunPA03 - “双機銃（ツインマシンガン）”用のフォトンアーツ。<br>素早くエネミーに接近し、強力な弾丸を叩き込む。<br>チャージすることで、威力が上昇する。
Fire01 - 炎属性のテクニック。<br>前方に、火球を放つ。<br>チャージすることで、攻撃の挙動が変化する。
Fire02 - 炎属性のテクニック。<br>自身の周囲に、炎の渦を発生させる。<br>チャージすることで、攻撃の挙動が変化する。
Ice01 - 氷属性のテクニック。<br>前方に、氷弾を放つ。<br>チャージすることで、威力が上昇する。
Ice02 - 氷属性のテクニック。<br>前方に、氷の刃を発生させる。<br>チャージすることで、威力が上昇する。
Thunder01 - 雷属性のテクニック。<br>前方に、雷を落とす。<br>チャージすることで、威力が上昇する。
Thunder02 - 雷属性のテクニック。<br>空中に、球状のエネルギー体を放ち、<br>範囲内のエネミー単体に断続的に雷撃を行う。<br>チャージすることで、攻撃の挙動が変化する。
Wind01 - 風属性のテクニック。<br>前方に、風の刃を放つ。<br>チャージすることで、攻撃の挙動が変化する。
Wind02 - 風属性のテクニック。<br>前方に、竜巻を発生させる。<br>チャージすることで、威力が上昇する。
Light01 - 光属性のテクニック。<br>前方に、光の剣を落とす。<br>チャージすることで、攻撃の挙動が変化する。
Light02 - 光属性のテクニック。<br>自身の周囲を、光の剣で薙ぎ払う。<br>チャージすることで、攻撃の挙動が変化する。
Dark01 - 闇属性のテクニック。<br>前方に、闇属性のフォトン弾を放つ。<br>チャージすることで、攻撃の挙動が変化する。
Dark02 - 闇属性のテクニック。前方に、<br>闇属性のフォトン爆縮を発生させる。<br>チャージすることで、威力が上昇する。
WandPA01 - “短杖（ウォンド）”用のフォトンアーツ。<br>素早くエネミーに接近し、強力な一撃を放つ。<br>チャージすることで、威力が上昇する。
WandPA02 - “短杖（ウォンド）”用のフォトンアーツ。<br>武器を地面に叩きつけ、衝撃波で広範囲を攻撃する。
TalisPA01 - “導具（タリス）”用のフォトンアーツ。<br>前方に、フォトン弾を放った後、タリスを展開する。<br>タリス展開中は、テクニックの挙動が変化する。
TalisPA02 - “導具（タリス）”用のフォトンアーツ。<br>フォトンの波動で、周囲のエネミーを<br>複数回薙ぎ払った後、タリスを展開する。<br>攻撃の段数によって、タリスの展開形態が変化する。<br>また、タリス展開中は、テクニックの挙動が変化する。
KatanaPA01 - “抜剣（カタナ）”用のフォトンアーツ。<br>素早い抜刀の後、前方に斬撃を放つ。<br>連続して発動すると、挙動が変化する。
KatanaPA02 - “抜剣（カタナ）”用のフォトンアーツ。<br>素早い抜刀の後、周囲のエネミーを薙ぎ払う。<br>連続して発動すると、挙動が変化する。
KatanaPA03 - “抜剣（カタナ）”用のフォトンアーツ。<br>力を溜めた後、直線状に無数の衝撃波を放つ。<br>連続して発動すると、挙動が変化する。
CompoundBowPA01 - “強弓（バレットボウ）”用のフォトンアーツ。<br>エネミーを追尾する矢を放つ。<br>２段階までチャージでき、<br>それぞれ攻撃の挙動が変化する。
CompoundBowPA02 - “強弓（バレットボウ）”用のフォトンアーツ。<br>エネミーに命中すると、周囲に拡散する矢を放つ。<br>チャージすることで、攻撃の挙動が変化する。
CompoundBowPA03 - “強弓（バレットボウ）”用のフォトンアーツ。<br>異空間にフォトンでできた弓矢を転送し、<br>範囲内のエネミーを上空から断続的に攻撃する。<br>チャージしてから放つと、弓矢を最大５本ストックし、<br>他のPAの命中後に１本ずつ発射して追撃する。
JetBootsPA01 - “魔装脚（ジェットブーツ）”用のフォトンアーツ。<br>縦方向に回転しながら、エネミーを蹴りつける。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>攻撃の挙動が変化する。
JetBootsPA02 - “魔装脚（ジェットブーツ）”用のフォトンアーツ。<br>横方向に回転しながら、エネミーを蹴りつける。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>攻撃の挙動が変化する。
JetBootsPA03 - “魔装脚（ジェットブーツ）”用のフォトンアーツ。<br>縦方向に回転しながら、前方に衝撃波を放つ。<br>PAボタンを長押しすると、追加でPPを消費するかわりに、<br>攻撃の挙動が変化する。
DbladePA01 - “飛翔剣（デュアルブレード）”用のフォトンアーツ。<br>周囲のエネミーを薙ぎ払った後、<br>フォトンの刃を発生させて追加攻撃を行う。<br>発動中にもう一度PAボタンを押すことで、<br>攻撃の挙動が変化する。
DbladePA02 - “飛翔剣（デュアルブレード）”用のフォトンアーツ。<br>連続で斬撃を放った後、<br>目標に無数のフォトンの刃を降り注がせる。<br>発動中にもう一度PAボタンを押すことで、<br>攻撃の挙動が変化する。
DbladePA03 - “飛翔剣（デュアルブレード）”用のフォトンアーツ。<br>縦方向に斬撃を放ちながら突進した後、<br>強力な一撃を放つ。<br>発動中にもう一度PAボタンを押すことで、<br>攻撃の挙動が変化する。
SwordPA04 - “大剣（ソード）”用のフォトンアーツ。<br>勢いよく斬り下ろし、敵を両断する。<br>チャージすることで攻撃範囲が拡大し、威力が上昇する。
WlancePA04 - “自在槍（ワイヤードランス）”用のフォトンアーツ。<br>刃をエネミーに突き刺すと、大きく飛び上がり、<br>その勢いを利用した叩きつけ攻撃を行う。<br>チャージすることで攻撃の挙動が変化する。<br>チャージ中、受けるダメージを軽減し、<br>打ち上げや吹き飛ばしを防ぐ状態になり、<br>エネミーの攻撃を２回受けると、<br>自動的にチャージを完了して発動する。
PartisanPA04 - “長槍（パルチザン）”用のフォトンアーツ。<br>斬り上げ、刺突、薙ぎ払いの３連撃を繰り出す。
TdaggerPA04 - “双小剣（ツインダガー）”用のフォトンアーツ。<br>刃をエネミーに突き刺し、斬撃を放った後、<br>武器を投げて周囲のエネミーを攻撃する。
DsaberPA04 - “両剣（ダブルセイバー）”用のフォトンアーツ。<br>飛び上がって回転斬りをした後、<br>フォトンをまとわせた武器を叩きつける。<br>発動時に、カマイタチが発生する。
KnucklePA04 - “鋼拳（ナックル）”用のフォトンアーツ。<br>素早い動きでエネミーの攻撃を無効化した後、<br>一撃必倒の裏拳を対象に叩き込む。<br>無効化に成功すると、威力が上昇する。
RiflePA04 - “長銃（アサルトライフル）”用のフォトンアーツ。<br>一定の位置に対して強力な爆撃を放つ。<br>長押ししている間、着弾位置が表示され、<br>PAボタンを離すと攻撃を行う。
LauncherPA04 - “大砲（ランチャー）”用のフォトンアーツ。<br>前方に爆風を浴びせ、反動によって後退する。<br>チャージすることで、<br>強力なグレネード弾を発射する挙動に変化する。
